text,stress_level,study_hour,screen_time,sleep_hour,social_hours,physical_activity,stress_score
Trying to balance everything is tiring.,Medium,2.5,4.8,5.7,3.0,0.9,48.0
I feel anxious but still somewhat okay.,Medium,2.7,5.9,5.7,2.1,3.0,67.0
I'm dealing with some emotional pressure.,Medium,5.8,5.0,4.9,3.9,1.0,53.0
A few things are bothering me today.,Medium,6.8,4.0,7.8,5.5,3.2,63.0
Trying to balance everything is tiring.,Medium,5.9,3.3,7.5,3.2,2.3,63.0
I feel anxious but still somewhat okay.,Medium,4.4,6.0,4.8,2.3,3.5,41.0
Trying to stay positive despite difficulties.,Medium,4.6,9.6,4.7,5.0,0.7,65.0
I feel a little stressed but I'm coping.,Medium,1.9,7.3,5.4,6.0,1.8,50.0
My stress level is moderate today.,Medium,3.6,3.5,6.0,1.4,1.1,41.0
I feel anxious but still somewhat okay.,Medium,2.7,3.7,6.2,2.8,3.1,49.0
Today has its ups and downs.,Medium,1.7,6.9,5.4,3.5,3.2,46.0
I feel a little stressed but I'm coping.,Medium,7.2,3.5,4.3,1.6,2.2,47.0
I'm dealing with some emotional pressure.,Medium,3.4,5.7,8.3,2.3,2.6,63.0
Some days are tough but I push myself.,Medium,6.7,5.3,6.0,5.8,1.8,47.0
I feel anxious but still somewhat okay.,Medium,1.2,6.2,6.5,1.2,2.7,53.0
Trying to stay positive despite difficulties.,Medium,5.1,3.8,4.9,2.2,2.6,58.0
I feel pressure but I'm trying to stay strong.,Medium,3.5,5.7,4.3,3.9,1.1,45.0
I could use some rest from the workload.,Medium,7.0,5.5,8.2,2.5,3.1,65.0
Trying to balance everything is tiring.,Medium,1.1,9.8,6.0,4.9,1.9,61.0
I feel a little stressed but I'm coping.,Medium,7.5,9.2,5.6,5.8,1.7,57.0
Some days are tough but I push myself.,Medium,3.6,8.3,7.4,3.1,2.1,53.0
Trying to balance everything is tiring.,Medium,2.1,3.5,6.1,1.7,2.5,56.0
Trying to stay positive despite difficulties.,Medium,5.7,3.7,6.1,5.4,0.8,44.0
Some days are tough but I push myself.,Medium,1.3,4.4,4.1,2.8,3.0,53.0
My stress level is moderate today.,Medium,1.2,8.0,5.5,5.0,3.0,65.0
I could use some rest from the workload.,Medium,3.5,9.1,7.9,5.2,2.3,46.0
"Not the best day, but not the worst either.",Medium,3.9,6.2,6.4,3.8,1.6,61.0
Trying to balance everything is tiring.,Medium,7.7,8.2,7.0,3.1,1.9,55.0
I feel anxious but still somewhat okay.,Medium,7.8,8.1,5.6,1.8,2.2,44.0
I could use some rest from the workload.,Medium,5.2,6.9,5.6,5.4,3.2,62.0
"Not the best day, but not the worst either.",Medium,1.0,8.4,4.5,3.6,2.0,63.0
A few things are bothering me today.,Medium,3.5,8.7,4.2,2.8,0.9,55.0
I feel a little stressed but I'm coping.,Medium,7.0,9.3,7.4,1.5,3.4,65.0
Trying to stay positive despite difficulties.,Medium,4.7,5.9,6.6,4.2,0.7,67.0
I feel pressure but I'm trying to stay strong.,Medium,6.8,6.9,6.3,4.2,0.9,51.0
I feel a little stressed but I'm coping.,Medium,3.6,8.3,8.1,2.6,3.1,57.0
Trying to stay positive despite difficulties.,Medium,6.9,3.1,8.9,5.2,3.4,46.0
Things are stressing me out a bit.,Medium,4.3,7.7,8.5,4.8,0.9,62.0
I’m worried about deadlines but managing.,Medium,2.0,8.4,5.7,5.2,1.2,63.0
I feel a little stressed but I'm coping.,Medium,1.5,8.3,5.9,2.1,3.4,56.0
I could use some rest from the workload.,Medium,6.2,7.3,8.4,1.1,2.1,41.0
Trying to stay positive despite difficulties.,Medium,1.9,8.4,8.9,1.8,1.6,45.0
I feel pressure but I'm trying to stay strong.,Medium,6.7,5.2,6.9,5.7,3.0,64.0
"Not the best day, but not the worst either.",Medium,2.8,8.9,4.2,4.7,2.8,48.0
I feel anxious but still somewhat okay.,Medium,6.6,8.1,8.3,3.2,2.2,45.0
Things are stressing me out a bit.,Medium,5.9,9.0,4.2,2.0,1.9,52.0
Trying to stay positive despite difficulties.,Medium,4.2,6.9,6.3,2.7,2.0,69.0
I feel pressure but I'm trying to stay strong.,Medium,1.8,5.4,4.1,4.7,3.4,40.0
I feel anxious but still somewhat okay.,Medium,5.5,4.2,6.1,5.0,3.4,59.0
I feel a little stressed but I'm coping.,Medium,3.3,3.9,8.6,3.9,0.7,65.0
I could use some rest from the workload.,Medium,4.2,7.1,6.2,4.7,0.8,41.0
"Not the best day, but not the worst either.",Medium,5.3,5.1,9.0,3.0,1.9,65.0
I feel a little stressed but I'm coping.,Medium,2.8,8.1,8.1,3.8,2.7,52.0
My stress level is moderate today.,Medium,5.5,5.5,7.0,5.6,1.6,41.0
Some days are tough but I push myself.,Medium,2.5,3.1,7.7,4.1,1.0,42.0
Things are stressing me out a bit.,Medium,2.0,5.8,7.7,2.5,2.9,44.0
I could use some rest from the workload.,Medium,1.6,9.6,4.7,4.6,2.8,67.0
I feel anxious but still somewhat okay.,Medium,6.7,5.0,7.5,1.4,2.0,69.0
My stress level is moderate today.,Medium,6.7,7.0,8.2,4.0,1.5,40.0
Trying to balance everything is tiring.,Medium,5.2,8.6,6.0,5.4,1.5,67.0
"Not the best day, but not the worst either.",Medium,5.5,6.7,7.8,3.6,0.8,52.0
I feel a little stressed but I'm coping.,Medium,6.8,4.9,6.5,3.7,3.1,69.0
I feel pressure but I'm trying to stay strong.,Medium,3.8,3.4,6.3,5.6,2.1,42.0
I feel pressure but I'm trying to stay strong.,Medium,2.1,5.3,7.1,5.5,2.0,55.0
I’m worried about deadlines but managing.,Medium,3.3,8.2,6.4,4.1,2.5,41.0
I'm dealing with some emotional pressure.,Medium,6.8,5.9,6.9,3.7,1.4,47.0
I feel a little stressed but I'm coping.,Medium,4.6,9.6,6.0,2.0,1.9,61.0
I need a break but I’ll keep going.,Medium,7.5,8.3,7.5,4.3,2.1,51.0
"Not the best day, but not the worst either.",Medium,2.6,8.7,4.5,2.9,3.5,64.0
I could use some rest from the workload.,Medium,1.9,6.4,8.2,4.6,2.8,62.0
Today has its ups and downs.,Medium,2.3,4.3,7.6,5.2,3.4,55.0
A few things are bothering me today.,Medium,6.5,7.2,4.7,2.9,2.0,51.0
I feel anxious but still somewhat okay.,Medium,1.3,7.3,6.1,3.8,2.1,40.0
A few things are bothering me today.,Medium,2.5,7.2,8.6,4.4,1.7,46.0
I feel anxious but still somewhat okay.,Medium,7.4,4.2,7.1,2.8,0.7,61.0
Trying to balance everything is tiring.,Medium,5.7,4.0,6.0,1.9,2.1,57.0
I could use some rest from the workload.,Medium,1.8,3.9,8.6,3.5,2.1,58.0
Trying to stay positive despite difficulties.,Medium,3.5,6.4,7.2,1.1,3.0,45.0
"Not the best day, but not the worst either.",Medium,2.4,9.7,4.6,1.7,0.6,43.0
Today has its ups and downs.,Medium,3.1,4.8,8.9,1.0,2.3,59.0
I’m worried about deadlines but managing.,Medium,7.3,3.2,6.5,6.0,0.8,58.0
"Not the best day, but not the worst either.",Medium,5.0,7.0,8.3,3.0,3.3,54.0
Trying to stay positive despite difficulties.,Medium,7.6,8.0,7.2,5.9,1.8,56.0
Things are stressing me out a bit.,Medium,4.4,5.0,6.8,1.9,1.4,49.0
I feel a little stressed but I'm coping.,Medium,7.8,7.4,5.4,5.1,2.0,48.0
My stress level is moderate today.,Medium,4.7,9.1,6.2,3.7,2.2,42.0
I need a break but I’ll keep going.,Medium,4.8,3.6,6.2,1.4,2.8,69.0
I could use some rest from the workload.,Medium,7.0,9.2,7.3,2.8,2.8,41.0
Trying to balance everything is tiring.,Medium,2.9,3.5,5.5,1.6,1.2,41.0
Today has its ups and downs.,Medium,3.7,7.8,8.8,5.6,1.7,40.0
I feel a little stressed but I'm coping.,Medium,3.0,5.2,6.7,5.4,2.4,68.0
Some days are tough but I push myself.,Medium,6.3,5.3,4.3,3.2,0.9,63.0
I’m worried about deadlines but managing.,Medium,2.3,10.0,8.1,4.3,1.7,65.0
I feel pressure but I'm trying to stay strong.,Medium,4.4,6.7,7.5,4.7,2.5,51.0
Trying to stay positive despite difficulties.,Medium,5.6,6.2,4.3,2.8,3.0,57.0
Some days are tough but I push myself.,Medium,1.2,5.3,4.5,4.7,2.3,68.0
Some days are tough but I push myself.,Medium,5.9,7.6,6.3,4.0,0.8,52.0
"Not the best day, but not the worst either.",Medium,6.6,7.1,7.6,1.9,3.3,63.0
I feel anxious but still somewhat okay.,Medium,2.4,5.4,7.1,2.8,1.2,42.0
I feel a little stressed but I'm coping.,Medium,1.4,7.7,4.7,5.0,1.4,53.0
Trying to balance everything is tiring.,Medium,3.8,7.9,8.6,1.1,3.5,55.0
Some days are tough but I push myself.,Medium,2.5,3.4,5.6,3.5,1.5,56.0
I feel a little stressed but I'm coping.,Medium,2.1,5.8,8.9,3.5,1.7,43.0
I need a break but I’ll keep going.,Medium,3.4,6.7,6.3,4.0,2.8,65.0
Trying to balance everything is tiring.,Medium,4.6,9.7,6.7,1.1,3.4,54.0
Today has its ups and downs.,Medium,1.9,7.2,7.7,3.6,2.0,64.0
I'm dealing with some emotional pressure.,Medium,6.1,4.5,8.4,5.9,2.0,64.0
Some days are tough but I push myself.,Medium,2.2,4.5,6.6,5.1,2.7,65.0
I’m worried about deadlines but managing.,Medium,1.5,4.3,8.2,1.4,2.6,47.0
I’m worried about deadlines but managing.,Medium,6.5,8.2,5.0,2.8,1.7,63.0
Things are stressing me out a bit.,Medium,3.9,4.4,6.2,5.2,0.6,55.0
Things are stressing me out a bit.,Medium,1.9,3.8,5.4,4.1,3.1,69.0
I need a break but I’ll keep going.,Medium,1.2,6.9,5.7,3.7,2.9,48.0
A few things are bothering me today.,Medium,3.5,7.5,8.3,5.2,0.6,63.0
Trying to balance everything is tiring.,Medium,3.1,6.3,8.3,2.3,1.1,57.0
Trying to stay positive despite difficulties.,Medium,5.6,6.0,7.7,4.8,1.1,42.0
Things are stressing me out a bit.,Medium,7.5,5.7,6.7,5.5,2.9,63.0
I'm dealing with some emotional pressure.,Medium,6.8,3.4,7.5,3.4,1.2,40.0
Trying to balance everything is tiring.,Medium,1.8,6.5,7.8,5.6,1.2,65.0
I feel anxious but still somewhat okay.,Medium,4.1,9.7,7.7,2.8,3.0,59.0
I feel anxious but still somewhat okay.,Medium,1.6,3.1,7.2,3.9,1.7,45.0
A few things are bothering me today.,Medium,7.6,8.3,6.9,2.4,2.9,49.0
I feel a little stressed but I'm coping.,Medium,2.4,5.4,5.3,1.5,3.0,42.0
Some days are tough but I push myself.,Medium,6.7,8.8,6.2,2.7,3.0,55.0
I need a break but I’ll keep going.,Medium,2.7,8.6,6.7,1.3,1.9,63.0
My stress level is moderate today.,Medium,7.6,3.6,6.3,2.4,1.4,56.0
Some days are tough but I push myself.,Medium,3.7,5.3,6.5,3.8,1.3,42.0
I could use some rest from the workload.,Medium,3.7,4.4,7.8,5.0,0.7,44.0
Things are stressing me out a bit.,Medium,4.3,4.6,8.6,2.9,0.7,44.0
I feel a little stressed but I'm coping.,Medium,7.6,9.3,4.9,4.6,2.7,58.0
"Not the best day, but not the worst either.",Medium,7.9,3.3,9.0,1.7,1.6,42.0
A few things are bothering me today.,Medium,3.2,6.5,7.4,4.4,1.3,48.0
I feel a little stressed but I'm coping.,Medium,2.0,6.9,4.6,5.9,2.2,61.0
I feel pressure but I'm trying to stay strong.,Medium,2.8,5.6,5.5,3.4,1.4,54.0
I need a break but I’ll keep going.,Medium,5.4,9.1,6.1,1.2,0.8,40.0
My stress level is moderate today.,Medium,3.4,4.0,4.6,2.9,1.2,66.0
Some days are tough but I push myself.,Medium,4.4,8.7,4.4,5.5,2.1,58.0
A few things are bothering me today.,Medium,6.2,8.6,5.6,3.7,2.7,63.0
I feel a little stressed but I'm coping.,Medium,4.6,6.8,8.4,3.0,2.6,42.0
I’m worried about deadlines but managing.,Medium,1.7,3.4,7.5,2.5,2.4,66.0
I need a break but I’ll keep going.,Medium,4.2,8.2,5.1,1.9,3.4,61.0
My stress level is moderate today.,Medium,6.4,7.4,7.8,2.2,0.6,56.0
I'm dealing with some emotional pressure.,Medium,1.5,5.7,7.5,2.6,1.5,45.0
Some days are tough but I push myself.,Medium,2.0,5.8,8.8,3.2,3.0,45.0
Trying to balance everything is tiring.,Medium,6.3,6.5,6.8,5.2,2.9,64.0
My stress level is moderate today.,Medium,2.9,4.5,7.6,3.4,1.4,64.0
I feel a little stressed but I'm coping.,Medium,6.5,7.4,6.0,2.6,1.0,44.0
Some days are tough but I push myself.,Medium,4.8,7.1,4.1,1.1,2.7,54.0
Some days are tough but I push myself.,Medium,1.2,5.1,7.1,3.6,0.6,65.0
A few things are bothering me today.,Medium,5.5,5.0,5.7,1.2,0.6,64.0
Trying to balance everything is tiring.,Medium,8.0,6.5,8.2,3.3,0.9,47.0
Trying to stay positive despite difficulties.,Medium,5.1,6.8,5.4,4.6,1.7,59.0
Today has its ups and downs.,Medium,5.4,5.0,7.8,1.9,1.6,62.0
I need a break but I’ll keep going.,Medium,7.7,9.5,4.2,1.3,0.6,40.0
I feel pressure but I'm trying to stay strong.,Medium,1.0,3.1,8.8,4.0,3.4,43.0
I'm dealing with some emotional pressure.,Medium,3.3,3.2,8.4,6.0,1.6,51.0
I feel anxious but still somewhat okay.,Medium,4.6,5.4,5.4,1.7,2.5,59.0
Some days are tough but I push myself.,Medium,5.3,3.1,8.2,2.1,0.9,49.0
A few things are bothering me today.,Medium,1.4,8.8,7.3,2.8,1.1,53.0
"Not the best day, but not the worst either.",Medium,7.3,9.6,6.2,2.9,0.6,68.0
Some days are tough but I push myself.,Medium,4.9,5.3,5.2,1.9,2.5,45.0
I feel anxious but still somewhat okay.,Medium,4.7,6.3,4.8,5.6,3.0,47.0
A few things are bothering me today.,Medium,7.4,3.8,6.4,2.4,3.0,47.0
A few things are bothering me today.,Medium,6.3,4.3,6.2,3.9,2.3,51.0
Things are stressing me out a bit.,Medium,1.7,3.8,8.4,5.8,2.7,63.0
I feel a little stressed but I'm coping.,Medium,2.4,8.6,8.6,3.3,2.8,59.0
I need a break but I’ll keep going.,Medium,2.4,4.6,5.6,2.4,3.0,57.0
I could use some rest from the workload.,Medium,1.5,6.2,8.8,4.3,1.0,57.0
Today has its ups and downs.,Medium,4.8,3.1,7.3,4.7,1.2,64.0
"Not the best day, but not the worst either.",Medium,7.3,6.2,5.5,1.2,1.5,53.0
"Not the best day, but not the worst either.",Medium,6.2,6.7,4.9,5.6,2.5,44.0
My stress level is moderate today.,Medium,1.5,7.4,5.4,3.0,1.2,65.0
Trying to stay positive despite difficulties.,Medium,4.4,6.2,6.8,2.1,2.9,54.0
Some days are tough but I push myself.,Medium,2.7,3.1,6.7,3.2,1.4,46.0
I feel anxious but still somewhat okay.,Medium,3.0,9.3,6.6,5.1,1.9,59.0
Today has its ups and downs.,Medium,6.1,4.6,6.6,5.4,1.7,55.0
I’m worried about deadlines but managing.,Medium,7.7,9.0,6.7,1.3,2.7,46.0
I'm dealing with some emotional pressure.,Medium,1.3,4.2,7.2,5.0,1.0,47.0
I feel a little stressed but I'm coping.,Medium,6.6,5.1,8.7,4.0,2.9,47.0
Trying to stay positive despite difficulties.,Medium,4.8,7.8,4.2,3.7,1.4,47.0
I feel anxious but still somewhat okay.,Medium,6.4,4.0,8.8,3.6,2.0,44.0
I feel a little stressed but I'm coping.,Medium,5.1,7.8,5.7,4.7,1.5,54.0
I’m worried about deadlines but managing.,Medium,5.3,3.2,6.3,5.7,0.9,42.0
I'm dealing with some emotional pressure.,Medium,4.1,3.8,6.5,1.7,1.7,42.0
"Not the best day, but not the worst either.",Medium,7.8,5.1,6.5,5.0,2.0,69.0
I'm dealing with some emotional pressure.,Medium,6.4,8.6,5.2,1.2,2.8,51.0
Trying to balance everything is tiring.,Medium,4.1,8.0,6.3,1.1,2.8,45.0
"Not the best day, but not the worst either.",Medium,4.1,8.8,5.8,3.1,2.4,54.0
I feel anxious but still somewhat okay.,Medium,6.8,8.9,4.2,2.0,1.6,60.0
I feel pressure but I'm trying to stay strong.,Medium,1.8,3.9,8.1,4.3,2.8,48.0
A few things are bothering me today.,Medium,6.3,9.6,6.6,5.4,3.4,45.0
I feel anxious but still somewhat okay.,Medium,2.9,5.7,4.2,4.7,1.8,54.0
"Not the best day, but not the worst either.",Medium,2.2,8.0,8.7,5.7,3.5,53.0
Trying to stay positive despite difficulties.,Medium,5.4,9.7,7.2,4.7,1.7,69.0
I’m worried about deadlines but managing.,Medium,6.6,5.1,5.9,5.4,2.2,43.0
I could use some rest from the workload.,Medium,5.5,6.4,8.1,1.7,1.7,52.0
My stress level is moderate today.,Medium,7.6,9.0,4.3,5.1,2.8,51.0
"Not the best day, but not the worst either.",Medium,2.3,7.5,6.7,6.0,2.9,43.0
Things are stressing me out a bit.,Medium,2.7,4.8,5.5,5.8,2.8,60.0
A few things are bothering me today.,Medium,1.8,9.3,4.2,5.7,1.9,41.0
I feel anxious but still somewhat okay.,Medium,4.4,6.6,4.8,3.6,0.9,42.0
Trying to balance everything is tiring.,Medium,5.5,3.9,7.7,3.1,2.9,65.0
"Not the best day, but not the worst either.",Medium,5.7,7.0,5.1,4.1,0.6,63.0
Some days are tough but I push myself.,Medium,1.7,7.8,8.7,5.0,3.2,53.0
I feel a little stressed but I'm coping.,Medium,3.1,8.7,7.5,1.9,0.5,68.0
Trying to stay positive despite difficulties.,Medium,1.4,4.1,5.3,4.3,1.4,45.0
I need a break but I’ll keep going.,Medium,3.3,6.4,8.1,4.8,2.2,67.0
I feel pressure but I'm trying to stay strong.,Medium,1.7,4.5,8.3,5.4,2.4,63.0
Things are stressing me out a bit.,Medium,3.2,9.8,5.7,3.1,2.2,68.0
Trying to balance everything is tiring.,Medium,2.9,7.8,5.7,2.0,1.1,50.0
I feel a little stressed but I'm coping.,Medium,5.4,7.6,7.2,2.5,2.3,40.0
I feel a little stressed but I'm coping.,Medium,3.0,8.1,8.0,3.5,1.0,44.0
Trying to balance everything is tiring.,Medium,2.0,4.6,7.9,2.8,2.4,64.0
My stress level is moderate today.,Medium,5.7,4.3,5.3,3.5,2.5,69.0
Things are stressing me out a bit.,Medium,5.2,5.7,5.8,4.5,1.5,44.0
Today has its ups and downs.,Medium,4.0,8.6,6.1,1.3,3.0,46.0
I need a break but I’ll keep going.,Medium,7.0,6.6,6.3,5.7,1.6,69.0
I need a break but I’ll keep going.,Medium,5.5,9.5,6.3,5.1,2.2,45.0
I’m worried about deadlines but managing.,Medium,2.2,6.4,4.4,3.2,2.4,47.0
I’m worried about deadlines but managing.,Medium,2.0,4.6,7.6,5.2,1.4,66.0
Today has its ups and downs.,Medium,6.6,7.8,6.0,4.9,1.7,52.0
I feel a little stressed but I'm coping.,Medium,2.4,9.4,5.0,2.3,1.8,42.0
Some days are tough but I push myself.,Medium,2.2,9.4,5.8,2.6,0.7,40.0
I feel anxious but still somewhat okay.,Medium,7.7,5.2,7.7,5.0,1.2,56.0
I feel pressure but I'm trying to stay strong.,Medium,3.3,5.2,5.2,3.0,2.0,63.0
I feel pressure but I'm trying to stay strong.,Medium,7.2,3.3,5.4,5.3,2.9,61.0
I need a break but I’ll keep going.,Medium,7.1,9.1,8.1,3.1,2.2,69.0
Today has its ups and downs.,Medium,5.5,7.4,6.7,2.6,1.0,47.0
I’m worried about deadlines but managing.,Medium,7.0,6.7,6.9,4.8,3.4,66.0
Some days are tough but I push myself.,Medium,4.3,4.2,7.5,1.1,1.1,56.0
I could use some rest from the workload.,Medium,6.9,5.2,6.0,5.0,1.7,60.0
I feel anxious but still somewhat okay.,Medium,6.7,4.2,5.3,5.6,1.5,68.0
Trying to balance everything is tiring.,Medium,5.7,7.0,7.3,4.7,3.0,60.0
I need a break but I’ll keep going.,Medium,2.1,7.5,4.0,1.3,3.1,54.0
I could use some rest from the workload.,Medium,6.8,7.5,5.7,5.4,3.0,68.0
I’m worried about deadlines but managing.,Medium,3.6,6.6,5.9,1.7,2.3,49.0
I feel a little stressed but I'm coping.,Medium,6.9,5.0,7.1,5.0,0.5,41.0
Trying to stay positive despite difficulties.,Medium,1.6,6.5,6.4,5.0,3.1,40.0
I feel pressure but I'm trying to stay strong.,Medium,1.0,6.5,4.7,2.6,2.3,53.0
A few things are bothering me today.,Medium,4.7,3.5,5.3,3.9,2.1,54.0
Things are stressing me out a bit.,Medium,2.0,6.6,6.7,4.6,0.9,66.0
Things are stressing me out a bit.,Medium,7.9,6.6,4.1,4.1,1.4,66.0
Trying to stay positive despite difficulties.,Medium,6.3,5.3,7.4,2.8,0.9,44.0
I need a break but I’ll keep going.,Medium,4.7,5.5,7.7,3.6,0.7,43.0
I feel anxious but still somewhat okay.,Medium,3.3,7.2,5.4,1.2,1.3,59.0
I feel pressure but I'm trying to stay strong.,Medium,1.6,6.0,6.9,2.5,0.7,45.0
Today has its ups and downs.,Medium,2.9,4.2,5.5,1.5,1.4,68.0
I need a break but I’ll keep going.,Medium,6.9,7.4,4.0,2.6,1.9,68.0
Things are stressing me out a bit.,Medium,7.7,6.6,6.3,3.5,0.9,44.0
I need a break but I’ll keep going.,Medium,3.1,8.4,8.4,1.2,2.7,52.0
I could use some rest from the workload.,Medium,3.8,3.2,7.1,4.8,2.8,41.0
I feel anxious but still somewhat okay.,Medium,5.8,7.0,5.4,4.2,2.7,46.0
Trying to balance everything is tiring.,Medium,3.6,7.1,8.3,3.8,3.0,44.0
Trying to balance everything is tiring.,Medium,5.5,5.6,7.0,5.3,3.3,65.0
"Not the best day, but not the worst either.",Medium,6.9,7.6,4.1,4.9,2.5,68.0
Trying to stay positive despite difficulties.,Medium,6.3,3.8,7.1,3.9,1.2,69.0
Some days are tough but I push myself.,Medium,3.3,5.0,5.5,2.2,2.0,65.0
I need a break but I’ll keep going.,Medium,2.0,5.8,5.4,2.6,3.0,43.0
Today has its ups and downs.,Medium,7.9,3.6,4.8,3.7,3.3,61.0
Things are stressing me out a bit.,Medium,6.4,4.1,8.0,5.2,2.3,48.0
I could use some rest from the workload.,Medium,2.2,8.9,5.5,3.0,1.5,54.0
I could use some rest from the workload.,Medium,3.9,8.8,4.3,4.0,0.9,54.0
Trying to balance everything is tiring.,Medium,7.4,5.9,4.4,4.8,2.5,66.0
I need a break but I’ll keep going.,Medium,4.1,5.4,5.5,2.7,2.8,45.0
Trying to stay positive despite difficulties.,Medium,1.7,3.9,6.9,4.2,1.5,56.0
A few things are bothering me today.,Medium,5.6,3.1,8.9,5.9,0.8,58.0
I'm dealing with some emotional pressure.,Medium,7.2,8.6,4.5,1.1,2.6,46.0
I'm dealing with some emotional pressure.,Medium,6.8,5.6,4.1,5.3,3.3,60.0
Trying to balance everything is tiring.,Medium,4.5,9.0,6.7,5.8,0.5,66.0
I feel a little stressed but I'm coping.,Medium,4.1,6.8,7.8,1.6,1.6,47.0
"Not the best day, but not the worst either.",Medium,7.5,3.8,5.5,4.8,3.0,56.0
My stress level is moderate today.,Medium,2.4,6.9,6.3,2.6,0.5,53.0
I feel anxious but still somewhat okay.,Medium,7.3,6.7,7.4,4.6,1.3,52.0
I feel anxious but still somewhat okay.,Medium,4.9,6.8,5.8,5.8,2.5,60.0
I'm dealing with some emotional pressure.,Medium,2.1,8.3,8.9,2.5,3.2,54.0
Today has its ups and downs.,Medium,1.9,5.3,7.4,2.1,1.2,60.0
Trying to balance everything is tiring.,Medium,4.8,6.6,6.3,5.0,2.0,64.0
I feel anxious but still somewhat okay.,Medium,6.3,3.1,6.7,4.4,1.4,68.0
I need a break but I’ll keep going.,Medium,4.6,4.0,4.4,4.6,2.0,54.0
Things are stressing me out a bit.,Medium,2.2,8.3,4.6,4.3,1.5,48.0
I'm dealing with some emotional pressure.,Medium,1.1,6.5,4.7,4.9,1.4,40.0
Things are stressing me out a bit.,Medium,3.6,9.3,7.1,5.6,3.2,69.0
My stress level is moderate today.,Medium,7.3,6.1,4.9,4.8,3.3,50.0
I could use some rest from the workload.,Medium,5.8,4.7,5.0,3.7,0.6,65.0
"Not the best day, but not the worst either.",Medium,6.1,9.3,4.5,4.2,0.9,67.0
Some days are tough but I push myself.,Medium,3.8,7.4,8.3,5.8,2.2,66.0
I need a break but I’ll keep going.,Medium,6.7,5.0,6.5,4.7,3.2,55.0
I feel pressure but I'm trying to stay strong.,Medium,3.2,6.7,4.5,5.0,2.8,61.0
Today has its ups and downs.,Medium,2.6,8.3,8.8,4.2,2.7,44.0
Trying to stay positive despite difficulties.,Medium,6.2,6.4,5.7,3.6,3.4,56.0
I’m worried about deadlines but managing.,Medium,4.9,3.4,4.6,3.2,2.2,43.0
A few things are bothering me today.,Medium,1.8,5.1,8.9,1.8,1.3,53.0
I'm dealing with some emotional pressure.,Medium,5.3,6.4,4.5,5.6,1.7,58.0
I need a break but I’ll keep going.,Medium,7.0,5.3,8.2,4.8,1.1,48.0
I could use some rest from the workload.,Medium,4.3,9.4,6.8,2.8,1.7,49.0
I feel pressure but I'm trying to stay strong.,Medium,3.5,3.3,6.8,4.7,0.8,46.0
Some days are tough but I push myself.,Medium,6.9,7.7,4.2,3.5,1.8,40.0
A few things are bothering me today.,Medium,2.7,7.6,5.6,3.9,1.4,68.0
I need a break but I’ll keep going.,Medium,7.0,6.4,7.7,4.2,2.2,45.0
My stress level is moderate today.,Medium,4.9,8.7,5.0,3.7,3.2,56.0
Trying to balance everything is tiring.,Medium,2.5,4.0,5.0,2.1,1.6,51.0
Trying to stay positive despite difficulties.,Medium,7.6,3.2,5.0,1.5,1.8,46.0
A few things are bothering me today.,Medium,6.1,8.1,7.3,4.0,1.9,65.0
Things are stressing me out a bit.,Medium,3.0,3.3,7.0,4.3,2.1,59.0
A few things are bothering me today.,Medium,2.7,9.7,4.3,3.2,3.0,50.0
I’m worried about deadlines but managing.,Medium,1.7,6.4,6.4,5.6,3.2,63.0
I could use some rest from the workload.,Medium,3.8,8.3,8.8,3.0,0.7,69.0
I feel pressure but I'm trying to stay strong.,Medium,4.5,8.7,5.5,1.5,2.5,48.0
I feel a little stressed but I'm coping.,Medium,2.4,3.5,7.0,4.9,3.5,62.0
"Not the best day, but not the worst either.",Medium,1.4,6.0,5.5,5.5,2.8,63.0
My stress level is moderate today.,Medium,7.3,4.8,7.2,4.6,1.0,45.0
Trying to balance everything is tiring.,Medium,3.1,9.1,6.1,2.1,3.3,46.0
I’m worried about deadlines but managing.,Medium,7.1,4.8,4.1,4.7,2.6,50.0
I feel pressure but I'm trying to stay strong.,Medium,1.3,6.6,6.0,4.5,1.2,63.0
"Not the best day, but not the worst either.",Medium,4.5,5.9,5.8,4.9,2.2,56.0
I’m worried about deadlines but managing.,Medium,3.3,3.9,6.0,3.3,2.8,57.0
Things are stressing me out a bit.,Medium,1.6,7.0,6.5,2.2,3.1,67.0
Trying to balance everything is tiring.,Medium,3.2,3.8,7.2,3.8,1.4,54.0
My stress level is moderate today.,Medium,2.8,5.2,5.8,1.4,1.5,41.0
Today has its ups and downs.,Medium,2.7,6.2,7.9,1.2,1.7,44.0
I could use some rest from the workload.,Medium,6.4,9.1,8.9,5.7,2.1,43.0
Trying to stay positive despite difficulties.,Medium,2.0,6.3,8.9,4.8,0.5,44.0
I could use some rest from the workload.,Medium,4.6,5.4,7.9,4.8,1.5,50.0
Some days are tough but I push myself.,Medium,3.7,8.8,8.5,4.6,1.9,69.0
My stress level is moderate today.,Medium,3.1,7.1,8.7,2.1,2.1,50.0
Some days are tough but I push myself.,Medium,7.2,6.6,4.2,1.3,3.2,44.0
A few things are bothering me today.,Medium,3.8,9.9,6.2,3.8,0.6,47.0
I feel a little stressed but I'm coping.,Medium,1.1,3.4,5.4,3.0,2.1,67.0
I could use some rest from the workload.,Medium,4.1,3.4,8.0,3.6,3.1,58.0
Some days are tough but I push myself.,Medium,6.4,7.8,8.5,4.3,1.1,48.0
